step,stable_train_l2,fast_train_l2,stable_val_l2,fast_val_l2,stable_total_sec,fast_total_sec,stable_lr,fast_lr,abs_diff_train_l2,abs_diff_val_l2
5,-0.002661718295814123,-0.002661718295814126,-0.002629018673918646,-0.0026290186739186486,3.3759190891869366,1.116012531099841,0.001,0.001,3.0357660829594124e-18,2.6020852139652106e-18
10,-0.0030524948596866446,-0.0030524948596866433,-0.0030134498439164568,-0.0030134498439164555,5.620064665097743,3.139754706993699,0.001,0.001,1.3010426069826053e-18,1.3010426069826053e-18
15,-0.0036590692602924326,-0.0036590692602924382,-0.0036113288800468284,-0.003611328880046834,7.538487444166094,5.109350945102051,0.001,0.001,5.637851296924623e-18,5.637851296924623e-18
20,-0.0047577413465286125,-0.004757741346528608,-0.004695411634105999,-0.004695411634105993,9.596229088958353,7.0312719030771405,0.001,0.001,4.336808689942018e-18,6.071532165918825e-18
25,-0.0069453237131310635,-0.006945323713131065,-0.006851668793597943,-0.006851668793597942,11.58068087999709,8.842875021044165,0.001,0.001,1.734723475976807e-18,1.734723475976807e-18
30,-0.011119732724589744,-0.011119732724589732,-0.010964282628537034,-0.01096428262853702,13.561073852004483,10.791879530064762,0.001,0.001,1.214306433183765e-17,1.3877787807814457e-17
35,-0.017191084949498343,-0.017191084949498343,-0.016941422037312033,-0.016941422037312037,15.505513915093616,12.726307573961094,0.001,0.001,0.0,3.469446951953614e-18
40,-0.022803070938822563,-0.022803070938822532,-0.022475577986033064,-0.022475577986033054,17.393074318999425,14.670967736048624,0.001,0.001,3.122502256758253e-17,1.0408340855860843e-17
45,-0.027259381619867726,-0.02725938161986771,-0.02711345696762596,-0.027113456967625956,19.361001200042665,16.588174805045128,0.001,0.001,1.734723475976807e-17,3.469446951953614e-18
50,-0.03152105785791224,-0.031521057857912246,-0.03162330770113205,-0.03162330770113203,21.34012384316884,18.603831809014082,0.001,0.001,6.938893903907228e-18,2.0816681711721685e-17
